Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
機能要件,F-013,速報,予想家的中判定,結果に基づき各予想家の的中状況を自動判定,実装済,判定ロジック: ◎馬が1着=「◎的中」/ ○馬が1着=「○的中」/ ◎馬が3着以内=「◎複勝圏」。予想家名+色ドット+ラベルで表示,,,,,
機能要件,F-014,予想家,予想家一覧表示,厳選予想家の一覧をカード形式で表示,実装済,8名登録。カードグリッド(PC:3列/タブレット:2列/モバイル:1列)。丸型アバター(固有色+頭文字) / 名前 / プラットフォーム / 外部リンクボタン。comingSoon予想家はグレーアウト表示,,,,,
機能要件,F-015,予想家,予想データ構造,レースごとの予想家の印データ,実装済,data/predictions/{raceId}.json。各予想にpredictorId / marks(馬番→印) / purchaseUrlを格納。サンプル4レース分あり,,,,,
機能要件,F-016,認証,ユーザー新規登録,メールアドレスとパスワードで新規登録,実装済（簡易版）,入力: メール / パスワード(4文字以上) / パスワード確認。バリデーション: 空チェック / パスワード長 / 一致確認 / メール重複チェック。成功時: 自動ログイン→トップへ。保存先: localStorage平文※本番非対応,,,,,
機能要件,F-017,認証,ログイン・ログアウト,メール+パスワードでログイン/ログアウト,実装済（簡易版）,localStorageのユーザーリストと照合。成功: セッション保存→トップへリダイレクト。失敗: エラーメッセージ表示。ログアウト: セッション削除→リロード,,,,,
機能要件,F-018,認証,認証状態UI切替,ログイン状態でナビバーの表示を切替,実装済,未ログイン: ゴールド「ログイン」ボタン。ログイン中: アイコン(頭文字)+メール@前+「ログアウト」リンク,,,,,
機能要件,F-019,ナビゲーション,グローバルナビ,全ページ共通のヘッダーナビ,実装済,固定ヘッダー。左: ロゴ→トップ。中: レース一覧/速報/予想家(現在ページはアクティブ色)。右: 認証UI。モバイル: ハンバーガートグル,,,,,
機能要件,F-020,ナビゲーション,フッター,全ページ共通のフッター,実装済,ロゴ(小) + ? 2026 UMAYOSE. All rights reserved.,,,,,
機能要件,F-021,データ,レースデータ形式,レース情報のJSONスキーマ,実装済,"data/races/{日付}.json。{date, venues: [{name, races: [{id, raceNumber, name, grade, distance, startTime, horseCount, entries: [{number, name, jockey, weight, odds, popularity}]}]}]}。サンプル: 3会場12レース",,,,,
機能要件,F-022,データ,結果データ形式,レース結果のJSONスキーマ,実装済,"data/results/{日付}.json。{date, results: [{raceId, status, placings: [{rank, number, name}], payouts: [{type, amount}]}]}。払戻6種: 単勝/複勝/馬連/馬単/3連複/3連単",,,,,
機能要件,F-023,データ,予想家マスタデータ,予想家の基本情報,実装済,data/predictors.json。8名。id/name/platform(note or netkeiba)/profileUrl/color(HEX)/comingSoon(optional),,,,,
機能要件,F-024,,（追加項目をここに記入）,,,,,,,,
デザイン要件,D-001,カラー,メインカラースキーム,サイト全体の配色体系,実装済,CSS変数定義。Primary:#1a1a2e / Accent:#e6b422(ゴールド) / BG:#f5f5f8 / Card:#fff / Text:#1a1a2e / Text Secondary:#555566 / Muted:#999aaa / Positive:#16a34a / Negative:#dc2626 / Border:#dddde2,,,,,
デザイン要件,D-002,カラー,グラデーション,アクセントのグラデーション,実装済,"ボタン: linear-gradient(135deg, #e6b422, #f0cc5a)。テキスト: linear-gradient(135deg, #b8960f, #e6b422, #b8960f)",,,,,
デザイン要件,D-003,カラー,グレード別カラー,レースグレードの色分け,実装済,"G1: ゴールド系(背景rgba(230,180,34,0.12)/文字#b8960f) / G2: レッド系 / G3: ブルー系",,,,,
デザイン要件,D-004,カラー,枠番カラー,JRA標準8枠の配色,実装済,1枠白 / 2枠黒 / 3枠赤 / 4枠青 / 5枠黄 / 6枠緑 / 7枠橙 / 8枠桃,,,,,
デザイン要件,D-005,カラー,MY印カラー,印の種類別色分け,実装済,◎本命:赤系 / ○対抗:青系 / ▲単穴:緑系 / △連下:橙系,,,,,
デザイン要件,D-006,タイポグラフィ,フォント,書体の指定,実装済,Google Fonts。Inter + Noto Sans JP。ウェイト: 400?900。行高: 1.7,,,,,
デザイン要件,D-007,タイポグラフィ,文字サイズ体系,各要素のフォントサイズ,実装済,ページタイトル: 1.5rem/weight800。レース名: 1.3rem。ロゴ: 1.15rem/weight800。ナビリンク: 0.88rem。バッジ: 0.7-0.8rem,,,,,
デザイン要件,D-008,共通,角丸,コンポーネントのborder-radius,実装済,SM:8px / MD:12px / LG:16px。カード:12-16px。ボタン:12px。バッジ:100px(pill型),,,,,
デザイン要件,D-009,共通,シャドウ,影の適用ルール,実装済,"ナビ: 0 1px 3px rgba(0,0,0,0.06)。ボタンhover: 0 4px 16px rgba(230,180,34,0.35)",,,,,
デザイン要件,D-010,共通,トランジション,アニメーション設定,実装済,"イージング: cubic-bezier(0.16,1,0.3,1)。色: 0.2s。影: 0.3s。メニュー: 0.3s",,,,,
デザイン要件,D-011,共通,ロゴ,サイトロゴ,実装済,assets/logo.svg。34×34px。ゴールド背景+白線馬シルエット。横にテキスト「UMAYOSE」accent-dark色,,,,,
デザイン要件,D-012,ナビバー,ヘッダー,固定ヘッダーの仕様,実装済,"fixed/z-index:1000。背景rgba(255,255,255,0.95)+backdrop-filter:blur(16px)。下線ボーダー。コンテナmax-width:1100px",,,,,
デザイン要件,D-013,ナビバー,モバイルメニュー,768px以下のハンバーガーメニュー,実装済,ハンバーガー3本線(22×2px)。タップでトグル。展開時: 縦並びリンク。PC時: 非表示+横並びナビ(gap:24px),,,,,
デザイン要件,D-014,レース一覧,3カラムレイアウト,PC表示時の会場別グリッド,実装済,769px+で3カラム。各カラムヘッダー(会場名+レース数バッジ)。レース行はflex配置。hover時背景色変化,,,,,
デザイン要件,D-015,レース一覧,タブUI,モバイル時の会場タブ,実装済,768px以下で表示。下線ボーダー型。アクティブ: accent色下線+文字。レース数pill型バッジ,,,,,
デザイン要件,D-016,レース一覧,レース行,各レース行のデザイン,実装済,flex: 番号(太字)/名前(グレードバッジ)/距離/時刻。G1行は左ボーダーゴールド。hover: bg-card-hover,,,,,
デザイン要件,D-017,出馬表,テーブル,出馬表テーブルデザイン,実装済,sticky header。ストライプ行。枠番:丸バッジ。馬番:左ボーダー。人気1-3:色丸。テン:色分け。MY印:クリッカブル,,,,,
デザイン要件,D-018,出馬表,レースヘッダー,出馬表上部のレース情報,実装済,戻るリンク。レース名(グレードバッジ付)。メタ: ??会場 ??距離 ??時刻 ??頭数。結果リンクボタン,,,,,
デザイン要件,D-019,出馬表,購入リンクカード,予想家リンクカード,実装済,タイトル「?? 厳選予想家の予想を購入」。カードグリッド。丸アバター+名前+プラットフォーム。comingSoon:半透明+バッジ,,,,,
デザイン要件,D-020,速報,結果一覧カード,速報一覧の各カード,実装済,会場グループ。カード: 番号+名前+距離(ヘッダー)+上位3頭。未確定:テキスト表示。G1:特別スタイル,,,,,
デザイン要件,D-021,速報,結果詳細,個別結果の表示構成,実装済,3セクション: (1)着順(1着金/2着青/3着ピンク+枠色馬番) (2)払戻金グリッド(6種\表示) (3)予想的中(色ドット+ラベル),,,,,
デザイン要件,D-022,予想家,予想家カード,予想家カードのUI,実装済,グリッド(min240px)。白背景+角丸+影。丸アバター(固有色+頭文字)。名前+プラットフォーム+リンクボタン。comingSoon:グレーアウト,,,,,
デザイン要件,D-023,認証,ログイン画面,ログインフォーム,実装済,中央配置カード。タイトル+サブタイトル。メール/パスワード入力。ゴールドグラデーション送信ボタン(full width)。新規登録リンク。エラー: 赤アラート,,,,,
デザイン要件,D-024,認証,新規登録画面,登録フォーム,実装済,ログインと同構成。メール/パスワード/確認の3フィールド。ログインリンク,,,,,
デザイン要件,D-025,レスポンシブ,ブレークポイント,画面幅による表示切替,実装済,主要: 768px。PC(769px+): 3カラム/タブ非表示/横ナビ。モバイル(?768px): 1カラム/タブ/ハンバーガー。400px未満: 予想家1列,,,,,
デザイン要件,D-026,共通,ローディング表示,データ読み込み中,一部実装,テキストベース(「読み込み中…」)。CSSスピナー定義済み未使用。スケルトンスクリーン未実装,,,,,
デザイン要件,D-027,共通,空状態・エラー表示,データなし時の表示,一部実装,絵文字+メッセージ(例:「?? 本日のレースデータがありません」)。ネットワークエラー表示は未実装,,,,,
デザイン要件,D-028,共通,フッター,フッターデザイン,実装済,ダーク背景(primary色)。白文字。ロゴ小+コピーライト,,,,,
デザイン要件,D-029,,（追加項目をここに記入）,,,,,,,,
