カテゴリ,画面名,機能ID,機能名,説明,表示条件,色・デザイン,設計書の該当箇所,実装状況,今後の課題
トップ画面,index.html,T-03,競馬場タブ（モバイル用）,競馬場名のタブボタン。レース数のバッジ付き,スマホ表示時のみ,アクティブタブは金色下線。レース数バッジは金色系,「各レースのタブ」,完了,—
トップ画面,index.html,T-04,レース一覧グリッド（PC用）,競馬場ごとのカードを3列で並べて表示,PC表示時（769px以上）,白カード＋影付き。ヘッダーはグレー背景,「各レースのタブ」,完了,—
トップ画面,index.html,T-05,レース行,レース番号＋レース名＋距離＋発走時刻を1行で表示。クリックで出馬表へ,常時表示,ホバー時に薄い背景色,「各レースのタブ」,完了,—
トップ画面,index.html,T-06,重賞行の色付け,重賞レースの行に薄い黄色背景＋左ボーダー（金色）を付与,重賞レースの行のみ,薄い黄色背景（rgba(230/180/34/0.08)）＋左3px金ボーダー,「重賞レースのみ色付け。薄い黄色」,完了,—
トップ画面,index.html,T-07,グレードバッジ,G1/G2/G3の小さなバッジをレース名の前に表示,重賞レースのみ,G1=金背景/G2=赤背景/G3=青背景,—,完了,—
トップ画面,index.html,T-08,予想家セクション,「UMAYOSE厳選予想家」としてアイコン＋名前＋プラットフォーム＋リンクを表示,常時表示（レース一覧の下）,カード型グリッド。ホバーで浮き上がり効果,「下部に所属予想家のアイコン＆販売リンク」,完了,—
トップ画面,index.html,T-09,FRONT RUNNERコラム,ダミー記事3件をカード型で表示（タイトル＋概要＋日付）,常時表示（予想家セクションの下）,サムネイル部分は絵文字表示。グレーグラデーション背景,「更に下部にFRONT RUNNERコラムとか？」,完了（ダミー）,記事管理システム（CMS）との連携が必要
出馬表,race.html,E-01,レースヘッダー,レース名＋グレードバッジ＋競馬場名＋距離＋発走時刻＋頭数を表示,常時表示,大きめのレース名（1.4rem）。メタ情報はグレーテキスト,—,完了,—
出馬表,race.html,E-02,戻るリンク,「← レース一覧に戻る」のテキストリンク,常時表示,グレーテキスト。ホバーで金色,—,完了,—
出馬表,race.html,E-03,レース結果リンク,「レース結果・速報を見る」ボタン,常時表示,グレー背景ボタン。ホバーで金色ボーダー,—,完了,—
出馬表,race.html,E-04,枠番列,JRA標準の8枠色で正方形バッジ表示。馬番から自動計算,常時表示,1枠=白/2枠=黒/3枠=赤/4枠=青/5枠=黄/6枠=緑/7枠=橙/8枠=桃,「枠番」,完了,—
出馬表,race.html,E-05,馬番列,馬番を枠色の左ボーダー付きバッジで表示,常時表示,グレー背景の正方形。左3pxに枠色ボーダー,「馬番」,完了,—
出馬表,race.html,E-06,MY印列,タップで印を切り替える。◎→○→▲→△→消去→◎の順,常時表示,◎=赤(#dc2626)/○=青(#2563eb)/▲=緑(#16a34a)/△=橙(#ea580c),「印機能」,完了,—
出馬表,race.html,E-07,馬名列,馬名を太字で左寄せ表示,常時表示,太字（font-weight: 600）,「馬名」,完了,—
出馬表,race.html,E-08,性齢列,性別＋年齢を表示（例：牡3）,常時表示,小さめ文字（0.78rem）でグレー,「性齢」,完了,—
出馬表,race.html,E-09,斤量列,斤量を数値で表示,常時表示,—,「斤量」,完了,—
出馬表,race.html,E-10,騎手列,騎手名を表示,常時表示,—,「騎手」,完了,—
出馬表,race.html,E-11,厩舎列,厩舎名を表示。長い名前は省略表示,PCのみ表示（スマホ非表示）,小さめ文字。80px超で省略（…）,「厩舎」,完了,—
出馬表,race.html,E-12,馬体重列,馬体重と増減を表示（例：480(+4)）,PCのみ表示（スマホ非表示）,増加=赤/減少=青/変化なし=グレー,「馬体重」,完了,—
出馬表,race.html,E-13,オッズ列,単勝オッズを小数1桁で表示,常時表示,グレーテキスト,「単勝オッズ」,完了,—
出馬表,race.html,E-14,近走成績列,過去5走の着順を小さなバッジで横並び表示,PCのみ表示（スマホ非表示）,1着=金/2着=青/3着=銅/4着以下=グレー,「近走成績(過去5走)」,完了,—
出馬表,race.html,E-15,近走ポップアップ,近走バッジをクリックすると詳細ポップアップを表示。22項目を2列テーブルで表示,近走バッジのクリック時,緑ヘッダー＋白背景。オーバーレイ付き,「近走成績の必要項目（22項目）」,完了,—
出馬表,race.html,E-16,近走ポップアップの22項目,日付/競馬場/距離/馬場/クラス/レース名/着順/頭数/人気/タイム/上り/着差/通過順/騎手/斤量/馬体重/間隔/父/母父/馬主/生産者（トラックを含めると22項目）,ポップアップ内,テーブル形式。項目名はグレー背景,「近走成績の必要項目」,完了,—
出馬表,race.html,E-17,予測勝率列,5.0〜35.0%の範囲で数値を表示。3段階で色分け,PCのみ表示。午前は全員表示/午後は会員のみ,25%以上=赤/15〜25%=グレー/15%未満=薄いグレー。FREEバッジ付き,「予測勝率」,完了,現在は擬似ハッシュによるダミー値
出馬表,race.html,E-18,逃げ馬指数列,30.0〜70.0の範囲で数値を表示。3段階で色分け,PCのみ表示。午前は全員表示/午後は会員のみ,30台（逃げ）=赤/40〜60（中間）=グレー/60台（追込）=青。FREEバッジ付き,「逃げ馬指数」,完了,現在は擬似ハッシュによるダミー値
出馬表,race.html,E-19,午前無料/午後有料の切り替え,13時以降は未ログインユーザーに対して予測勝率と逃げ馬指数をぼかし＋ロック表示,13時以降かつ未ログイン,ぼかし効果＋白オーバーレイ＋「有料会員限定」バッジ（金色系）,「午前→無料/午後→有料」,完了,本番用の課金システムとの連携が必要
出馬表,race.html,E-20,的中速報バナー,「的中速報を見る」赤色バナーリンク,常時表示（テーブルの下）,赤グラデーション背景（#dc2626→#f43f5e）。白文字,「予想家アイコン付近に的中速報」,完了,—
出馬表,race.html,E-21,予想家購入リンク（レース別）,該当レースに予想を出している予想家は「このレースの予想を購入」リンクを表示,予想データがある場合,カード型。金色系のリンクテキスト,「各予想家の各レース販売リンクに飛ぶのがベスト」,完了,—
出馬表,race.html,E-22,予想家購入リンク（アカウント別）,予想データがない予想家は「アカウントを見る」リンクを表示,予想データがない場合,カード型。金色系のリンクテキスト,「まずはアカウントリンクから始めていく」,完了,—
出馬表,race.html,E-23,Coming Soon予想家,デビュー前の予想家は半透明で「3月デビュー予定」バッジを表示,comingSoonフラグがtrueの場合,半透明（opacity:0.5）。グレーのバッジ,—,完了,—
レース結果,results.html,R-01,速報一覧ページ,競馬場ごとにレースカードを縦並びで表示。各カードに3着までの簡易結果,常時表示,カード型。重賞は金ボーダー付き,—,完了,—
レース結果,results.html,R-02,速報カードの着順表示,1着/2着/3着の馬番＋馬名＋人気を表示,結果確定時,1着=金色/2着=青/3着=銅色のテキスト色,「1位黄色/2位青/3位銅で統一」,完了,—
レース結果,results.html,R-03,結果未確定表示,「結果未確定」のテキストを表示,結果データがない場合,グレーテキスト中央寄せ,—,完了,—
レース結果,results.html,R-04,速報/確定モード切替ボタン,「速報」「確定」のトグルボタン。速報モードでは一部列を非表示,常時表示,アクティブボタンは紺色背景＋白文字,「速報の際は項目絞って良い」,完了,—
レース結果,results.html,R-05,速報モードの表示列,着順/枠/馬番/印/馬名/騎手/斤量/オッズ/人気,速報モード選択時,確定モードより列数が少ない,「速報項目：着順〜想定払戻金」,完了,—
レース結果,results.html,R-06,確定モードの表示列,着順/枠/馬番/印/馬名/性齢/騎手/厩舎/斤量/馬体重/タイム/上り/着差/オッズ/人気/通過（全16列）,確定モード選択時,全列表示,「着順〜通過順位」,完了,—
レース結果,results.html,R-07,着順列,着順を円形バッジで表示,常時表示,1着=金グラデーション/2着=水色/3着=銅色の円形バッジ,—,完了,—
レース結果,results.html,R-08,着順行の背景色,1〜3着の行に薄い背景色を付与,1〜3着の行,1着=薄い金/2着=薄い青/3着=薄い銅,「1位黄色/2位青/3位銅で統一」,完了,—
レース結果,results.html,R-09,印列（結果ページ）,MY印を表示。予想家の印はツールチップで確認可能,常時表示,MY印の色は出馬表と同じ（◎赤/○青/▲緑/△橙）。ツールチップで予想家名と印を表示,「印機能」,完了,—
レース結果,results.html,R-10,タイム列,走破タイムを等幅フォントで表示,確定モードのみ,等幅フォント（Inter/monospace）。太字,—,完了,—
レース結果,results.html,R-11,上がり3F列,上がり3ハロンタイムを表示。速い/普通/遅いで色分け,確定モードのみ（PCのみ）,34.0秒未満=赤/34.0〜36.0=黒/36.0秒超=青,—,完了,—
レース結果,results.html,R-12,レースラップ,各ハロンのラップタイムをバッジで表示。平均より速い/遅いで色分け,確定モードのみ。raceLapデータがある場合,平均より0.3秒以上速い=赤背景/0.3秒以上遅い=青背景/その他=グレー背景,「レースラップ」,完了,—
レース結果,results.html,R-13,払戻金テーブル,券種/組番/払戻金/人気の4列テーブル,確定モード。payoutsデータがある場合,緑ヘッダー。1万円以上の払戻金は赤字で強調,「各払戻金」,完了,—
レース結果,results.html,R-14,払戻金の券種,単勝/複勝/馬連/馬単/ワイド/3連複/3連単など,payoutsデータに含まれる券種,—,「各払戻金」,完了,—
レース結果,results.html,R-15,予想家的中判定（単勝）,◎印の馬が1着なら「単勝」的中と判定,◎の馬番 = 1着の馬番,赤背景バッジ,—,完了,—
レース結果,results.html,R-16,予想家的中判定（複勝）,◎印の馬が3着以内なら「複勝」的中と判定,◎の馬番が1〜3着に含まれる,橙背景バッジ,—,完了,—
レース結果,results.html,R-17,予想家的中判定（馬連）,◎と○の2頭が1着2着（順不同）なら「馬連」的中と判定,◎○の2頭の組み合わせが1着2着と一致（順不同）,青背景バッジ,—,完了,—
レース結果,results.html,R-18,予想家的中判定（馬単）,◎が1着かつ○が2着なら「馬単」的中と判定,◎=1着 かつ ○=2着（順序あり）,紫背景バッジ,—,完了,—
レース結果,results.html,R-19,予想家的中判定（ワイド）,印を付けた馬のうち2頭以上が3着以内なら「ワイド」的中と判定,◎○▲△のうち2頭以上が1〜3着に含まれる,緑背景バッジ,—,完了,—
レース結果,results.html,R-20,予想家的中判定（3連複）,◎○▲の3頭が全て3着以内なら「3連複」的中と判定,◎○▲の3頭全てが1〜3着に含まれる（順不同）,シアン背景バッジ,—,完了,—
レース結果,results.html,R-21,予想家的中判定（3連単）,◎が1着かつ○が2着かつ▲が3着なら「3連単」的中と判定,◎=1着 かつ ○=2着 かつ ▲=3着（順序あり）,金背景バッジ,—,完了,—
レース結果,results.html,R-22,予想家的中セクション,的中した予想家のアイコン＋名前＋的中バッジを一覧表示,的中した予想家がいる場合,アバターアイコン＋名前＋券種バッジ（色分け）,—,完了,—
レース結果,results.html,R-23,SNSシェアボタン,X（旧Twitter）の「結果をシェア」ボタン,常時表示,黒背景＋白文字のボタン,「SNSでの的中報告につなげやすい」,完了,—
レース結果,results.html,R-24,SNSシェアテキスト,MY印がある場合は「◎馬名→○着」形式。ない場合は1〜3着の馬名を表示,ボタンクリック時,#UMAYOSE #競馬 のハッシュタグ付き,「SNSでの的中報告」,完了,—
的中速報,hits.html,H-01,ページヘッダー,「的中速報」タイトル＋「予想家の的中情報をリアルタイムで配信」サブタイトル,常時表示,—,—,完了,—
的中速報,hits.html,H-02,券種フィルター,「すべて」＋各券種（単勝/複勝/馬連など）のボタン,常時表示,丸型ボタン。アクティブ時は紺色背景＋白文字,—,完了,—
的中速報,hits.html,H-03,予想家フィルター,「全予想家」＋各予想家名のボタン,常時表示,丸型ボタン。アクティブ時は紺色背景＋白文字,—,完了,—
的中速報,hits.html,H-04,タイムライン,的中情報をSNS風カードで縦並び表示,常時表示,カード型。左ボーダー色は券種ごとに異なる,—,完了,—
的中速報,hits.html,H-05,カード左ボーダーの色分け,券種ごとにカード左ボーダーの色を変更,全カード,単勝=赤/複勝=橙/馬連=青/馬単=紫/ワイド=緑/3連複=シアン/3連単=金,—,完了,—
的中速報,hits.html,H-06,高額配当カード,払戻金1万円以上のカードに特別デザインを適用,payoutAmount >= 10000,金色ボーダー＋グラデーション背景（白→薄い黄）＋光る影効果,—,完了,—
的中速報,hits.html,H-07,高額配当金額表示,1万円以上の金額は金色グラデーションテキストで表示,payoutAmount >= 10000,金色グラデーション文字（#b8960f→#e6b422→#b8960f）。通常より大きめ（1.2rem）,—,完了,—
的中速報,hits.html,H-08,カード情報表示,予想家アイコン＋名前＋券種バッジ＋レース情報＋馬名＋払戻金＋時刻を表示,全カード,アイコンは予想家の固有色。時刻は「○分前」形式の相対時間,—,完了,—
的中速報,hits.html,H-09,フィルター連動,券種フィルターと予想家フィルターを同時適用。両方の条件を満たすカードのみ表示,フィルター選択時,条件に合わないカードはdisplay:noneで非表示,—,完了,—
予想家一覧,predictors.html,P-01,ページヘッダー,「予想家一覧」タイトル＋「UMAYOSEが厳選した○名の予想家」サブタイトル,常時表示,—,—,完了,—
予想家一覧,predictors.html,P-02,予想家カードグリッド,予想家をカード型グリッドで表示。PCは自動4列程度/スマホは2列,常時表示,白カード。ホバーで浮き上がり＋影効果。最小幅240px,—,完了,—
予想家一覧,predictors.html,P-03,予想家カード内容,アイコン（頭文字＋固有色）＋名前＋プラットフォーム名＋「noteで見る→」等のリンク,全予想家,アイコンは円形。プラットフォーム名はグレー,—,完了,—
予想家一覧,predictors.html,P-04,Coming Soon対応,デビュー前の予想家は半透明（opacity:0.55）＋「3月デビュー予定」バッジ,comingSoonフラグがtrueの場合,半透明表示。バッジはグレー背景,—,完了,—
認証,login.html,A-01,ログインページ,メールアドレス＋パスワードの入力フォーム＋ログインボタン,常時表示,白カード型。最大幅400px中央寄せ,—,完了,サーバー側認証が必要
認証,login.html,A-02,ログインエラー表示,メールまたはパスワードが間違いの場合に赤いエラーメッセージを表示,認証失敗時,赤背景（薄い）＋赤ボーダー＋赤文字,—,完了,—
認証,register.html,A-03,新規登録ページ,メールアドレス＋パスワード＋パスワード確認の入力フォーム＋登録ボタン,常時表示,白カード型。最大幅400px中央寄せ,—,完了,サーバー側認証が必要
認証,register.html,A-04,登録バリデーション,パスワード4文字以上チェック/パスワード一致チェック/メール重複チェック,登録ボタン押下時,エラー時は赤いメッセージ表示,—,完了,—
認証,—,A-05,認証データ保存,ユーザー情報はブラウザのlocalStorageに保存,常時,—,—,完了,本番ではサーバー側のデータベース＋暗号化が必要
デザイン共通,全画面,D-01,ブランドカラー（金色）,サイト全体のアクセントカラーとして金色（#e6b422）を使用,全体,メインカラー#e6b422/暗め#b8960f/明るめ#f0cc5a,—,完了,—
デザイン共通,全画面,D-02,テーブルヘッダー（緑）,出馬表・結果テーブル・払戻金テーブルのヘッダーをnetkeiba風の緑色に,テーブルヘッダー,背景色#1e6e3e（濃い緑）/文字色#ffffff（白）,「netkeibaに寄せる」,完了,—
デザイン共通,全画面,D-03,1着の色,1着の表示に金色系を使用,1着データ,バッジ=金グラデーション/背景=薄い金（rgba(230/180/34/0.1)）,「1位黄色」,完了,—
デザイン共通,全画面,D-04,2着の色,2着の表示に青色系を使用,2着データ,バッジ=#93c5fd+紺文字/背景=薄い青（rgba(37/99/235/0.06)）,「2位青」,完了,—
デザイン共通,全画面,D-05,3着の色,3着の表示に銅色系を使用,3着データ,バッジ=#cd7f32+白文字/背景=薄い銅（rgba(205/127/50/0.1)）,「3位銅」,完了,—
デザイン共通,全画面,D-06,枠色（JRA標準8色）,JRA標準の8色を枠番バッジに使用,枠番表示箇所,1枠=白/2枠=黒/3枠=赤(#e4002b)/4枠=青(#0068b7)/5枠=黄(#f4d500)/6枠=緑(#00a73c)/7枠=橙(#f39800)/8枠=桃(#e85298),—,完了,—
デザイン共通,全画面,D-07,印の色,◎○▲△に競馬ファンに馴染みのある色を使用,印表示箇所,◎本命=赤(#dc2626)/○対抗=青(#2563eb)/▲単穴=緑(#16a34a)/△連下=橙(#ea580c),—,完了,—
デザイン共通,全画面,D-08,フォント,Inter＋Noto Sans JPを基本フォントとして使用,全体,フォントサイズは0.72rem〜1.5remの範囲で使い分け,—,完了,—
デザイン共通,全画面,D-09,角丸,要素の角を丸くして柔らかい印象に,全体,小=8px/中=12px/大=16px,—,完了,—
収益化,出馬表,M-01,予測勝率の無料→有料切り替え,午前は全ユーザーに無料公開。午後（13時以降）はログインユーザーのみ閲覧可能,時間帯による自動切替,無料時はFREEバッジ付き。有料時はぼかし＋「有料会員限定」ロック,「サイトの滞在時間・リピート率向上を狙う」,完了,月額課金システムとの連携が必要
収益化,出馬表,M-02,逃げ馬指数の無料→有料切り替え,予測勝率と同じ仕組みで午前無料/午後有料,時間帯による自動切替,予測勝率と同じデザイン,「予想インフラとしてのオリジナル機能」,完了,月額課金システムとの連携が必要
収益化,出馬表,M-03,予想家購入リンクの導線設計,レース別リンク（優先）とアカウントリンク（フォールバック）の2段構え,予想データの有無で自動切替,—,「離脱率の観点から各レース販売リンクがベスト」,完了,—
収益化,的中速報,M-04,的中速報の役割,予想家の実績をアピールし購入への導線として機能,常時表示,高額配当を目立たせることで購入意欲を刺激,—,完了,—
今後の課題,—,F-01,レースデータの自動取得,現在はJSONファイルにダミーデータを手動配置。JRA等からの自動データ取得が必要,—,—,—,未実装,データソースの選定とAPI連携の実装が必要
今後の課題,—,F-02,ユーザー認証の強化,現在はlocalStorageにパスワードを平文保存。サーバー側の認証システムが必要,—,—,—,未実装,データベース＋パスワード暗号化＋セッション管理の実装が必要
今後の課題,—,F-03,決済・課金機能,有料会員の月額課金フロー。現在は時間帯による簡易制限のみ,—,—,—,未実装,決済サービス（Stripe等）との連携が必要
今後の課題,—,F-04,コラム記事のCMS連携,現在はダミー記事3件をコード内に直接記述。記事管理システムとの連携が必要,—,—,—,未実装（ダミー）,CMSの選定と連携の実装が必要
今後の課題,—,F-05,日付選択機能,現在は当日のレースのみ表示。過去や未来の日付のレースを閲覧する機能がない,—,—,—,未実装,日付ピッカーの追加とデータ構造の対応が必要
今後の課題,—,F-06,予想家個別ページ,各予想家の成績・的中率・プロフィールの詳細ページがない,—,—,—,未実装,予想家の成績集計ロジックとページの作成が必要
今後の課題,—,F-07,プッシュ通知,レース結果や的中速報をリアルタイムで通知する機能がない,—,—,—,未実装,Service WorkerまたはWebSocket連携が必要
今後の課題,—,F-08,予測勝率・逃げ馬指数の実データ化,現在は擬似的なハッシュ値でダミー表示。実際のAI予測モデルとの連携が必要,—,—,—,未実装（ダミー値）,AI予測モデルの開発とAPI連携が必要
今後の課題,—,F-09,的中速報のリアルタイム更新,現在は静的JSONファイルから読み込み。レース結果確定時に自動で的中判定＆配信する仕組みが必要,—,—,—,未実装,バックエンドの自動判定ロジックとWebSocket配信が必要
今後の課題,—,F-10,SEO・OGP対応,SNSシェア時のOGP画像やメタ情報の設定。検索エンジン対策が未実施,—,—,—,未実装,meta要素の追加とOGP画像の作成が必要
